"Subject: CloudCask impossible travel detected on iPad Pro in Boston, US (review)

Good afternoon Reese,

We to be safedetected impossible travel detected for your Time tracking from iPad Pro in Boston, US.

To keep your account safe, kindly confirm unusual sign-in in 24 hours via hxxps://auth-nimbusdrive[.]invalid/account?rid=449332.

Open security page: hxxps://auth-nimbusdrive[.]invalid/check?rid=977437

SIMULATION: This content is for training only.

Kind regards,
Devin

SIMULATION: This message is for security training only.",phishing-credential
"Subject: CloudCask security questions attempted on new Edge browser profile in Lisbon, PT (review)

Dear Skyler,

We possiblydetected security questions attempted for your Azure AD from new Edge browser profile in Lisbon, PT.

To keep your account safe, kindly confirm your identity in 24 hours via hxxps://verify-vertex365[.]invalid/security?rid=111444.

Open security page: hxxps://update-arksync[.]invalid/confirm?rid=792063

SIMULATION: This content is for training only.

Warm regards,
Cameron

Reference: [ID-286639]",phishing-credential
"Subject: SkyDocs stale refresh token reused on new Edge browser profile in Helsinki, FI (review)

Dear Finley,

We detected stale refresh token reused for your Time tracking from new Edge browser profile in Helsinki, FI.

To keep your account safe, kindly reset your password by tomorrow via hxxps://update-vertex365[.]invalid/update?rid=966385.

Open security page: hxxps://account-nimbusdrive[.]invalid/revalidate?rid=942385

SIMULATION: This content is for training only.

Kind regards,
Robin

Do not share verification codes with anyone.

Reference: [ID-785470]",phishing-credential
"Subject: CloudCask MFA approval denied on airport kiosk in Boston, US (review)

Dear Emerson,

We it appearsdetected MFA approval denied for your Azure AD from airport kiosk in Boston, US.

To keep your account safe, kindly confirm your identity immediately via hxxps://notice-vertex365[.]invalid/access?rid=257948.

Open security page: hxxps://update-docnest[.]invalid/recheck?rid=818134

SIMULATION: This content is for training only.

Many thanks,
Reese

Do not share verification codes with anyone.",phishing-credential
"Subject: CloudCask impossible travel detected on new Edge browser profile in Auckland, NZ (final notice)

Good morning Lee,

We it seemsdetected impossible travel detected for your CRM from new Edge browser profile in Auckland, NZ.

To keep your account safe, kindly reset your password this morning via hxxps://secure-skydocs[.]invalid/access?rid=910804.

Open security page: hxxps://update-nimbusdrive[.]invalid/verify?rid=505339

SIMULATION: This content is for training only.

Kind regards,
Shawn",phishing-credential
"Subject: Vertex365 impossible travel detected on unmanaged device in Zurich, CH (review)

Hello Reese,

We detected impossible travel detected for your Azure AD from unmanaged device in Zurich, CH.

To keep your account safe, kindly re-enable access by end of day via hxxps://check-arksync[.]invalid/update?rid=919459.

Open security page: hxxps://auth-cloudcask[.]invalid/verify?rid=964394

SIMULATION: This content is for training only.

Kind regards,
Lee

SIMULATION: This message is for security training only.",phishing-credential
"Subject: SkyDocs OAuth grant from unknown app on Pixel 9 in Melbourne, AU (action required)

Hello Quinn,

We detected OAuth grant from unknown app for your Payroll system from Pixel 9 in Melbourne, AU.

To keep your account safe, kindly confirm your identity this afternoon via hxxps://update-corevault[.]invalid/security?rid=989851.

Open security page: hxxps://verify-corevault[.]invalid/confirm?rid=906500

SIMULATION: This content is for training only.

Warm regards,
Cameron",phishing-credential
"Subject: CloudCask new authenticator enrolled on Ubuntu host in Helsinki, FI (review)

Hi Alex,

We detected new authenticator enrolled for your Password manager from Ubuntu host in Helsinki, FI.

To keep your account safe, kindly re-enable access by tomorrow via hxxps://notice-arksync[.]invalid/access?rid=171403.

Open security page: hxxps://revalidate-arksync[.]invalid/validate?rid=108893

SIMULATION: This content is for training only.

Kind regards,
Avery

Do not share verification codes with anyone.",phishing-credential
"Subject: DocNest stale refresh token reused on hotel business center in Manchester, UK (final notice)

Good morning Drew,

We detected stale refresh token reused for your Azure AD from hotel business center in Manchester, UK.

To keep your account safe, kindly revalidate unusual sign-in by end of day via hxxps://secure-corevault[.]invalid/update?rid=701383.

Open security page: hxxps://update-corevault[.]invalid/validate?rid=237954

SIMULATION: This content is for training only.

Best,
Lee

Do not share verification codes with anyone.

SIMULATION: This message is for security training only.",phishing-credential
"Subject: CloudCask stale refresh token reused on Windows 10 VM in Melbourne, AU (high importance)

Hey Drew,

We detected stale refresh token reused for your Password manager from Windows 10 VM in Melbourne, AU.

To keep your account safe, kindly re-enable access this afternoon via hxxps://secure-arksync[.]invalid/security?rid=820259.

Open security page: hxxps://check-docnest[.]invalid/confirm?rid=341046

SIMULATION: This content is for training only.

Best,
Taylor

Do not share verification codes with anyone.",phishing-credential
"Subject: DocNest stale refresh token reused on unmanaged device in Auckland, NZ (priority)

Hey Sam,

We we believedetected stale refresh token reused for your Payroll system from unmanaged device in Auckland, NZ.

To keep your account safe, kindly reset your password this morning via hxxps://secure-nimbusdrive[.]invalid/access?rid=570867.

Open security page: hxxps://check-arksync[.]invalid/revalidate?rid=982130

SIMULATION: This content is for training only.

Sincerely,
Arden

Reference: [ID-221113]

SIMULATION: This message is for security training only.",phishing-credential
"Subject: Vertex365 new authenticator enrolled on airport kiosk in Lisbon, PT (review)

Hello Rowan,

We detected new authenticator enrolled for your SSO portal from airport kiosk in Lisbon, PT.

To keep your account safe, kindly re-enable access this morning via hxxps://verify-nimbusdrive[.]invalid/access?rid=999754.

Open security page: hxxps://auth-vertex365[.]invalid/check?rid=718017

SIMULATION: This content is for training only.

Best,
Elliot

SIMULATION: This message is for security training only.

Do not share verification codes with anyone.",phishing-credential
"Subject: NimbusDrive stale refresh token reused on Ubuntu host in Glasgow, UK (review)

Hi Hayden,

We detected stale refresh token reused for your CRM from Ubuntu host in Glasgow, UK.

To keep your account safe, kindly re-enable access by Friday via hxxps://update-docnest[.]invalid/security?rid=937182.

Open security page: hxxps://notice-vertex365[.]invalid/revalidate?rid=225128

SIMULATION: This content is for training only.

Many thanks,
Jordan

Reference: [ID-538674]

Do not share verification codes with anyone.",phishing-credential
